Date,Resources,Practice,New words phrases or sentences,Duration in hours
2019-10-13,Forvo. images,SRS,chien. chat,1
2019-10-21,Videos on pronunciation,SRS (Pronunciation),,1
2019-10-23,Book (Valentin),Media,,1
2019-10-24,Book (Valentin),Media,,0.5
2019-10-25,Pronunciation trainer. conversation circle. Book (Valentin),SRS. Speaking,Olympique spéciaux. athéletisme,3
2019-10-26,Pronunciation trainer,SRS (Pronunciation),royaume. baignoire,0.5
2019-10-27,bande dessinée,Media,Le bus magique,0.3
2019-10-30,Pronunciation trainer. reading,SRS (Pronunciation),frein. jeux Olympiques,0.8
2021-07-12,Pronunciation trainer,SRS (Pronunciation),,0.3
2021-07-17,https://github.com/justintungonline/french-learning-me/,planning. SRS. TPL livres,Argentine,2
2021-07-18,cercle de conversation,reading,scolarisé,1
2021-07-21,JAM chat,writing conversation,numéro,1
2021-07-28,Les amies de papier,reading,bébé,0.5
2021-08-05,Les amies de papier,reading,collège,0.5
